,Datetime,Open,High,Low,Close,Volume
0,2024-01-15 02:00:00,42277.4,42405.9,42195.5,42395.7,66.80126427
1,2024-01-15 03:00:00,42397.5,42642.1,42384.2,42561.0,78.42462598
2,2024-01-15 04:00:00,42569.6,42633.4,42504.1,42596.6,62.06901257
3,2024-01-15 05:00:00,42596.6,42814.7,42571.2,42734.3,77.96805519
4,2024-01-15 06:00:00,42740.5,42797.0,42613.8,42648.2,68.88965505
5,2024-01-15 07:00:00,42648.2,42766.3,42519.8,42709.8,84.0204446
6,2024-01-15 08:00:00,42715.1,42772.0,42641.0,42682.8,64.09778601
7,2024-01-15 09:00:00,42682.8,42756.6,42593.1,42746.8,65.64198849
8,2024-01-15 10:00:00,42746.9,42764.0,42540.6,42562.1,56.32169551
9,2024-01-15 11:00:00,42562.2,42704.5,42541.5,42696.9,52.48401352
10,2024-01-15 12:00:00,42697.0,42719.7,42568.7,42664.0,83.35294152
11,2024-01-15 13:00:00,42664.1,42960.3,42617.5,42849.6,108.4707301
12,2024-01-15 14:00:00,42849.6,42866.1,42169.0,42195.2,290.27533165
13,2024-01-15 15:00:00,42195.2,42466.0,42160.8,42275.6,112.6193347
14,2024-01-15 16:00:00,42275.6,42546.0,42252.3,42520.2,86.5746717
15,2024-01-15 17:00:00,42520.2,42774.0,42519.1,42700.3,106.22485823
16,2024-01-15 18:00:00,42696.4,43373.0,42696.4,43015.4,382.15447525
17,2024-01-15 19:00:00,43015.4,43128.0,42830.1,42990.5,111.61656442
18,2024-01-15 20:00:00,42990.6,43109.6,42854.1,42958.8,47.13330004
19,2024-01-15 21:00:00,42958.9,42958.9,42709.8,42709.9,50.59146185
20,2024-01-15 22:00:00,42715.0,42808.3,42348.5,42623.4,125.47429465
21,2024-01-15 23:00:00,42628.9,42639.1,42479.1,42523.6,88.84433211
22,2024-01-16 00:00:00,42513.5,42671.0,42471.5,42599.6,51.45142671
23,2024-01-16 01:00:00,42597.3,42723.9,42557.7,42584.8,59.55039964
24,2024-01-16 02:00:00,42584.8,42730.0,42553.7,42706.2,64.42277684
25,2024-01-16 03:00:00,42706.2,42936.9,42698.3,42921.6,70.83750728
26,2024-01-16 04:00:00,42917.8,42942.9,42760.1,42803.3,60.3252256
27,2024-01-16 05:00:00,42803.3,42929.8,42766.8,42773.2,43.96121285
28,2024-01-16 06:00:00,42773.3,42781.0,42652.1,42741.0,55.95669923
29,2024-01-16 07:00:00,42741.0,42786.6,42612.0,42786.6,51.22711971
30,2024-01-16 08:00:00,42787.0,43020.0,42718.2,43017.3,94.21978611
31,2024-01-16 09:00:00,43017.2,43151.3,42900.0,42933.9,154.87149212
32,2024-01-16 10:00:00,42934.0,42965.8,42852.8,42872.8,39.5460336
33,2024-01-16 11:00:00,42872.8,42941.5,42753.4,42899.7,55.68030723
34,2024-01-16 12:00:00,42899.8,43160.4,42856.8,43158.0,106.00440471
