Datetime,Open,High,Low,Close,Volume,RSI,MACD
2019-12-13,144.91,145.25,143.08,144.82,5983.3624198,,
2019-12-14,144.82,145.04,141.21,141.77,6029.01273307,,
2019-12-15,141.78,143.9,140.01,142.44,8734.24233589,,
2019-12-16,142.45,142.99,130.0,132.75,10739.26043338,,
2019-12-17,132.75,132.99,119.69,121.95,17051.77851853,,
2019-12-18,121.96,134.36,116.41,132.74,26301.95452037,,
2019-12-19,132.75,133.8,125.73,128.07,15645.4149669,,
2019-12-20,128.07,129.32,125.99,128.18,9722.11457439,,
2019-12-21,128.21,128.4,126.49,127.02,8695.59369489,,
2019-12-22,127.02,132.9,126.8,132.1,12536.14959144,,
2019-12-23,132.11,135.22,126.2,127.84,17998.52809936,,
2019-12-24,127.86,129.5,126.69,127.76,12266.54645658,,
2019-12-25,127.76,127.82,123.5,125.11,10838.17290437,,
2019-12-26,125.12,132.25,124.37,125.62,10714.5215401,33.650073346489776,
2019-12-27,125.62,126.97,122.8,126.29,11247.82394685,35.133367365515056,
2019-12-28,126.3,129.61,125.89,128.1,9568.5206902,39.09460604168372,
2019-12-29,128.13,137.93,127.53,134.36,14334.43696401,50.380637983100215,
2019-12-30,134.36,136.16,130.3,131.61,12054.93732376,46.31997558302484,
2019-12-31,131.61,133.62,128.25,129.22,13622.79608931,43.0708496053991,
2020-01-01,129.22,132.96,128.77,130.68,9096.2210674,45.58204266671006,
2020-01-02,130.7,130.76,126.42,127.12,13948.82688886,40.850286736949634,
2020-01-03,127.14,135.0,125.95,134.32,22306.4054365,51.75774036376022,
2020-01-04,134.32,135.76,132.58,134.23,10255.00113744,51.629576971287456,
2020-01-05,134.23,138.12,134.21,135.38,15608.14314462,53.223461239744616,
2020-01-06,135.38,144.37,134.94,144.12,25685.20199635,63.1592732003786,
2020-01-07,144.13,145.32,139.0,142.86,29617.60256252,61.14292609833404,0.43049413473394793
2020-01-08,142.87,147.82,137.14,140.7,31367.90997417,57.73984961807788,0.8498107686455398
2020-01-09,140.79,141.55,135.39,137.82,20582.12832849,53.466844031841504,0.9389071539763165
2020-01-10,137.83,145.22,135.5,144.88,27009.21628468,61.072127090035366,1.5612031008425902
2020-01-11,144.9,147.91,142.13,142.52,26807.89493973,57.67853911985548,1.8427033087766347
2020-01-12,142.52,146.56,141.93,146.55,18878.72302199,61.60227106445262,2.3637339183115387
2020-01-13,146.54,146.98,142.38,143.54,13383.40710863,57.32717980600978,2.5048976845475863
2020-01-14,143.56,170.87,143.53,165.75,50800.17843451,72.49508757663821,4.358688126076743
2020-01-15,165.76,171.84,159.29,166.4,40942.04446299,72.79980399050002,5.8132682369491135
2020-01-16,166.41,167.37,158.27,164.26,26182.78922535,70.0483113690166,6.715936207154556
2020-01-17,164.26,174.53,162.19,170.0,36348.10804855,72.99641270049544,7.804511554669887
2020-01-18,170.0,179.56,165.39,174.21,30377.62513182,74.94437780731108,8.904284131160011
2020-01-19,174.21,178.0,161.65,166.89,27130.71103011,66.02595475077874,9.080524364807133
2020-01-20,166.89,169.25,161.25,166.86,18799.07472061,65.99129459448885,9.112729398407481
2020-01-21,166.87,170.2,164.96,169.39,17218.29573959,67.53890942579025,9.235935856089753
2020-01-22,169.39,171.4,166.1,168.06,15069.77559902,65.84263623929918,9.121115435685965
2020-01-23,168.07,168.15,159.24,162.87,28660.50648851,59.5566632374914,8.513194987384566
2020-01-24,162.87,164.4,155.64,162.57,22181.70485285,59.20481054695873,7.915955946836334
2020-01-25,162.57,162.72,157.71,160.38,14630.45229223,56.57709294153576,7.183122442739148
2020-01-26,160.35,168.02,159.45,167.92,16039.84190632,62.713148977138324,7.1285876752244235
2020-01-27,167.93,172.0,165.34,170.1,20666.94049972,64.28458239856786,7.178526673037965
2020-01-28,170.11,176.0,170.1,175.76,21683.15890665,68.04955492372723,7.587356068213353
2020-01-29,175.58,178.47,173.38,173.7,22638.87001103,65.34943299965289,7.65686791835688
2020-01-30,173.72,186.99,171.01,184.71,26244.74316427,71.79171282031085,8.502361613844187
2020-01-31,184.71,185.73,175.23,179.98,24936.55030798,66.1054731350257,8.690570502173642
2020-02-01,179.98,184.23,179.32,183.62,18456.97564136,68.1932995691086,9.02936013830444
2020-02-02,183.62,193.42,179.2,188.44,28436.53354262,70.7616159418268,9.57639634737211
2020-02-03,188.48,194.98,186.61,189.73,23995.43690207,71.42661188749595,9.998759230859605
2020-02-04,189.73,191.52,184.72,188.89,22617.87825844,70.30529611255164,10.148715800761664
2020-02-05,188.9,207.61,188.22,203.81,30127.62942142,77.16302945899157,11.340747691132094
2020-02-06,203.81,216.33,200.89,213.2,37754.55527705,80.25379886172419,12.89449634950057
2020-02-07,213.26,224.57,213.21,223.52,33987.17579529,82.98015454246092,14.788122832843385
2020-02-08,223.52,227.54,213.57,223.14,33864.46276137,82.5283084993898,16.072894318848796
2020-02-09,223.14,230.55,223.01,228.64,29580.2932659,83.89520380953401,17.335061217356213
2020-02-10,228.64,229.29,216.54,222.95,34671.659734,77.16889442553598,17.67248472795484
2020-02-11,222.95,238.97,218.18,236.8,38775.48276113,81.13390170568887,18.84029534477193
2020-02-12,236.81,275.3,230.5,265.72,69329.55166796,86.43240419151452,21.84755100928936
2020-02-13,265.71,277.57,256.5,268.48,64081.54691839,86.8130413399173,24.174858997053263
2020-02-14,268.47,287.43,260.55,285.21,48888.85843756,88.85425679976821,27.057338372115538
2020-02-15,285.35,289.95,261.65,264.87,54741.23215002,73.88098889737499,27.384781319846752
